nameOrig,month,monthly_income,monthly_expense,savings,savings_rate,expense_income_ratio,transfer_ratio,stress_score,stress_category
C1000005353,8,0.0,3228390.11,-3228390.11,0.0,0.0,1.0,6,Severe Stress
C1000005749,13,0.0,3229333.12,-3229333.12,0.0,0.0,1.0,6,Severe Stress
C1000008236,11,0.0,673726.47,-673726.47,0.0,0.0,1.0,6,Severe Stress
C1000009606,6,0.0,235163.72,-235163.72,0.0,0.0,1.0,6,Severe Stress
C1000010387,11,0.0,165944.75,-165944.75,0.0,0.0,1.0,6,Severe Stress
C1000024959,8,0.0,420906.13,-420906.13,0.0,0.0,1.0,6,Severe Stress
C100002734,5,0.0,1288884.48,-1288884.48,0.0,0.0,1.0,6,Severe Stress
C1000028645,14,0.0,127894.89,-127894.89,0.0,0.0,1.0,6,Severe Stress
C100003513,1,0.0,940361.66,-940361.66,0.0,0.0,1.0,6,Severe Stress
C1000036340,22,0.0,253648.68,-253648.68,0.0,0.0,1.0,6,Severe Stress
C1000040886,5,0.0,70282.76,-70282.76,0.0,0.0,1.0,6,Severe Stress
C1000042392,2,0.0,666487.42,-666487.42,0.0,0.0,1.0,6,Severe Stress
C1000044288,17,0.0,1306702.73,-1306702.73,0.0,0.0,1.0,6,Severe Stress
C1000046410,19,0.0,289366.6,-289366.6,0.0,0.0,1.0,6,Severe Stress
C1000051968,12,0.0,813651.32,-813651.32,0.0,0.0,1.0,6,Severe Stress
C1000053637,2,0.0,122816.55,-122816.55,0.0,0.0,1.0,6,Severe Stress
C1000054824,11,0.0,196406.03,-196406.03,0.0,0.0,1.0,6,Severe Stress
C1000060137,7,0.0,611835.47,-611835.47,0.0,0.0,1.0,6,Severe Stress
C1000063018,6,0.0,150384.96,-150384.96,0.0,0.0,1.0,6,Severe Stress
C1000063833,7,0.0,343768.66,-343768.66,0.0,0.0,1.0,6,Severe Stress
C1000072966,14,0.0,32611.95,-32611.95,0.0,0.0,1.0,6,Severe Stress
C1000074219,8,0.0,613159.51,-613159.51,0.0,0.0,1.0,6,Severe Stress
C1000077677,11,0.0,1627720.86,-1627720.86,0.0,0.0,1.0,6,Severe Stress
C1000079878,11,0.0,685858.25,-685858.25,0.0,0.0,1.0,6,Severe Stress
C1000080667,7,0.0,4876.44,-4876.44,0.0,0.0,1.0,6,Severe Stress
C1000084237,1,0.0,2276183.23,-2276183.23,0.0,0.0,1.0,6,Severe Stress
C1000094846,9,0.0,835095.2,-835095.2,0.0,0.0,1.0,6,Severe Stress
C1000097327,8,0.0,1003721.94,-1003721.94,0.0,0.0,1.0,6,Severe Stress
C1000099824,7,0.0,27872.99,-27872.99,0.0,0.0,1.0,6,Severe Stress
C1000100694,6,0.0,416402.32,-416402.32,0.0,0.0,1.0,6,Severe Stress
C1000101287,11,0.0,311380.91,-311380.91,0.0,0.0,1.0,6,Severe Stress
C1000101750,7,0.0,505784.42,-505784.42,0.0,0.0,1.0,6,Severe Stress
C1000104995,14,0.0,2084473.48,-2084473.48,0.0,0.0,1.0,6,Severe Stress
C1000106896,13,0.0,1000057.17,-1000057.17,0.0,0.0,1.0,6,Severe Stress
C1000109302,1,0.0,36834.52,-36834.52,0.0,0.0,1.0,6,Severe Stress
C1000109635,10,0.0,97520.47,-97520.47,0.0,0.0,1.0,6,Severe Stress
C1000112654,2,0.0,1516764.25,-1516764.25,0.0,0.0,1.0,6,Severe Stress
C1000112658,2,0.0,1850234.86,-1850234.86,0.0,0.0,1.0,6,Severe Stress
C1000114621,14,0.0,1570139.19,-1570139.19,0.0,0.0,1.0,6,Severe Stress
C1000117431,12,0.0,3457893.75,-3457893.75,0.0,0.0,1.0,6,Severe Stress
C1000117472,2,0.0,124690.01,-124690.01,0.0,0.0,1.0,6,Severe Stress
C1000117878,6,0.0,1006510.09,-1006510.09,0.0,0.0,1.0,6,Severe Stress
C1000118476,5,0.0,1074079.62,-1074079.62,0.0,0.0,1.0,6,Severe Stress
C1000122340,8,0.0,86276.42,-86276.42,0.0,0.0,1.0,6,Severe Stress
C1000123559,8,0.0,547186.74,-547186.74,0.0,0.0,1.0,6,Severe Stress
C1000124896,14,0.0,952392.5,-952392.5,0.0,0.0,1.0,6,Severe Stress
C1000125588,13,0.0,452100.96,-452100.96,0.0,0.0,1.0,6,Severe Stress
C1000126591,7,0.0,351902.82,-351902.82,0.0,0.0,1.0,6,Severe Stress
C1000127680,18,0.0,366650.11,-366650.11,0.0,0.0,1.0,6,Severe Stress
C1000129114,22,0.0,321576.8,-321576.8,0.0,0.0,1.0,6,Severe Stress
C1000130674,13,0.0,812520.16,-812520.16,0.0,0.0,1.0,6,Severe Stress
C1000136742,5,0.0,360797.53,-360797.53,0.0,0.0,1.0,6,Severe Stress
C1000138136,6,0.0,361405.04,-361405.04,0.0,0.0,1.0,6,Severe Stress
C1000139141,7,0.0,53464.88,-53464.88,0.0,0.0,1.0,6,Severe Stress
C1000141869,9,0.0,1350945.32,-1350945.32,0.0,0.0,1.0,6,Severe Stress
C1000150723,7,0.0,503020.45,-503020.45,0.0,0.0,1.0,6,Severe Stress
C1000154572,9,0.0,542408.2,-542408.2,0.0,0.0,1.0,6,Severe Stress
C1000155789,14,0.0,1456620.87,-1456620.87,0.0,0.0,1.0,6,Severe Stress
C1000162313,10,0.0,25274.08,-25274.08,0.0,0.0,1.0,6,Severe Stress
C1000165908,6,0.0,269418.55,-269418.55,0.0,0.0,1.0,6,Severe Stress
C1000171577,7,0.0,1944001.03,-1944001.03,0.0,0.0,1.0,6,Severe Stress
C1000177685,10,0.0,413449.21,-413449.21,0.0,0.0,1.0,6,Severe Stress
C1000182328,7,0.0,43302.1,-43302.1,0.0,0.0,1.0,6,Severe Stress
C1000182592,12,0.0,1443847.09,-1443847.09,0.0,0.0,1.0,6,Severe Stress
C1000186974,12,0.0,1011043.07,-1011043.07,0.0,0.0,1.0,6,Severe Stress
C1000194623,9,0.0,160544.75,-160544.75,0.0,0.0,1.0,6,Severe Stress
C1000197721,19,0.0,14652.96,-14652.96,0.0,0.0,1.0,6,Severe Stress
C1000202702,2,0.0,1131259.23,-1131259.23,0.0,0.0,1.0,6,Severe Stress
C1000203298,12,0.0,1125829.41,-1125829.41,0.0,0.0,1.0,6,Severe Stress
C1000206988,16,0.0,4341979.06,-4341979.06,0.0,0.0,1.0,6,Severe Stress
C1000208736,7,0.0,597756.25,-597756.25,0.0,0.0,1.0,6,Severe Stress
C1000211880,14,0.0,477959.31,-477959.31,0.0,0.0,1.0,6,Severe Stress
C1000219931,5,0.0,9099.98,-9099.98,0.0,0.0,1.0,6,Severe Stress
C1000220264,6,0.0,2113130.86,-2113130.86,0.0,0.0,1.0,6,Severe Stress
C1000221284,9,0.0,195063.19,-195063.19,0.0,0.0,1.0,6,Severe Stress
C1000231597,1,0.0,1361999.8,-1361999.8,0.0,0.0,1.0,6,Severe Stress
C1000233471,13,0.0,1208656.61,-1208656.61,0.0,0.0,1.0,6,Severe Stress
C1000236008,6,0.0,675953.05,-675953.05,0.0,0.0,1.0,6,Severe Stress
C1000236105,13,0.0,103217.29,-103217.29,0.0,0.0,1.0,6,Severe Stress
C1000242395,12,0.0,1082469.09,-1082469.09,0.0,0.0,1.0,6,Severe Stress
C1000245996,7,0.0,9204.56,-9204.56,0.0,0.0,1.0,6,Severe Stress
C100025747,12,0.0,1221062.99,-1221062.99,0.0,0.0,1.0,6,Severe Stress
C1000264823,24,0.0,67277.54,-67277.54,0.0,0.0,1.0,6,Severe Stress
C1000265553,11,0.0,14841068.83,-14841068.83,0.0,0.0,1.0,6,Severe Stress
C1000269574,10,0.0,581558.17,-581558.17,0.0,0.0,1.0,6,Severe Stress
C1000271071,8,0.0,96381.98,-96381.98,0.0,0.0,1.0,6,Severe Stress
C1000271682,8,0.0,218429.85,-218429.85,0.0,0.0,1.0,6,Severe Stress
C1000271888,21,0.0,427779.69,-427779.69,0.0,0.0,1.0,6,Severe Stress
C1000273828,12,0.0,212902.53,-212902.53,0.0,0.0,1.0,6,Severe Stress
C1000274707,2,0.0,1200196.77,-1200196.77,0.0,0.0,1.0,6,Severe Stress
C1000274779,11,0.0,2111686.49,-2111686.49,0.0,0.0,1.0,6,Severe Stress
C1000275001,1,0.0,578524.25,-578524.25,0.0,0.0,1.0,6,Severe Stress
