nameOrig,avg_stress,max_stress,stressed_months
C1902386530,5.333333333333333,6,3
C1976208114,5.333333333333333,6,3
C545315117,5.333333333333333,6,3
C1002027777,6.0,6,2
C1029713918,6.0,6,2
C1162384917,6.0,6,2
C1185263836,6.0,6,2
C1191696703,6.0,6,2
C1212164269,6.0,6,2
C125799853,6.0,6,2
C1261747802,6.0,6,2
C1313642079,6.0,6,2
C1317020957,6.0,6,2
C1322202354,6.0,6,2
C1326807568,6.0,6,2
C1342539758,6.0,6,2
C1376588103,6.0,6,2
C1378765159,6.0,6,2
C1404013630,6.0,6,2
C1429994118,6.0,6,2
C1463235060,6.0,6,2
C1501432365,6.0,6,2
C1553828262,6.0,6,2
C1566443123,6.0,6,2
C1570038497,6.0,6,2
C1657770612,6.0,6,2
C166311678,6.0,6,2
C1666165344,6.0,6,2
C1671749882,6.0,6,2
C1726185852,6.0,6,2
C1841367152,6.0,6,2
C1863683348,6.0,6,2
C1876692743,6.0,6,2
C1886544249,6.0,6,2
C1900035261,6.0,6,2
C1929818755,6.0,6,2
C1959217095,6.0,6,2
C1963422110,6.0,6,2
C1991760030,6.0,6,2
C2055027956,6.0,6,2
C2076561122,6.0,6,2
C2108020763,6.0,6,2
C24957224,6.0,6,2
C261533385,6.0,6,2
C316656451,6.0,6,2
C339955034,6.0,6,2
C374097252,6.0,6,2
C397528925,6.0,6,2
C442810010,6.0,6,2
C482952496,6.0,6,2
C514772704,6.0,6,2
C527448086,6.0,6,2
C569000276,6.0,6,2
C601333964,6.0,6,2
C683822340,6.0,6,2
C729186631,6.0,6,2
C729560990,6.0,6,2
C747895774,6.0,6,2
C784575706,6.0,6,2
C796574716,6.0,6,2
C806945189,6.0,6,2
C850407982,6.0,6,2
C925247406,6.0,6,2
C940075559,6.0,6,2
C958689035,6.0,6,2
C98707923,6.0,6,2
C992563138,6.0,6,2
C1003111861,5.5,6,2
C1004939913,5.5,6,2
C1006639408,5.5,6,2
C1011887288,5.5,6,2
C1012240507,5.5,6,2
C101359786,5.5,6,2
C1015913959,5.5,6,2
C1016934729,5.5,6,2
C1016949303,5.5,6,2
C1017791215,5.5,6,2
C1018213648,5.5,6,2
C1019109955,5.5,6,2
C1021950674,5.5,6,2
C1022036948,5.5,6,2
C1025684428,5.5,6,2
C1028766280,5.5,6,2
C102946146,5.5,6,2
C1031460541,5.5,6,2
C1037425017,5.5,6,2
C1037444987,5.5,6,2
C1039623203,5.5,6,2
C1040334487,5.5,6,2
C1040679252,5.5,6,2
C1043355265,5.5,6,2
C1043640664,5.5,6,2
C1044208658,5.5,6,2
C1047720433,5.5,6,2
C1048396381,5.5,6,2
C104852430,5.5,6,2
C1050713766,5.5,6,2
C1060162321,5.5,6,2
C1060949051,5.5,6,2
C1065287134,5.5,6,2
C1065477296,5.5,6,2
C10668225,5.5,6,2
C1067547914,5.5,6,2
C1067618745,5.5,6,2
C1067736056,5.5,6,2
C106840069,5.5,6,2
C1068777831,5.5,6,2
C1069164083,5.5,6,2
C1069749149,5.5,6,2
C107159084,5.5,6,2
C1072214271,5.5,6,2
C1072555503,5.5,6,2
C1074179519,5.5,6,2
C1076223280,5.5,6,2
C1076770426,5.5,6,2
C1077087409,5.5,6,2
C1081525209,5.5,6,2
C1081828524,5.5,6,2
C1081886091,5.5,6,2
C1082814881,5.5,6,2
C1086498409,5.5,6,2
C1088227910,5.5,6,2
C108859014,5.5,6,2
C10903283,5.5,6,2
C1090722085,5.5,6,2
C1093713615,5.5,6,2
C1095346997,5.5,6,2
C1097726742,5.5,6,2
C10982843,5.5,6,2
C1099714066,5.5,6,2
C1100886759,5.5,6,2
C1101598632,5.5,6,2
C1101705604,5.5,6,2
C1102357797,5.5,6,2
C1103994495,5.5,6,2
C1104856404,5.5,6,2
C1107265431,5.5,6,2
C11073301,5.5,6,2
C1114021485,5.5,6,2
C1114513110,5.5,6,2
C1115149113,5.5,6,2
C1118399210,5.5,6,2
C1118448721,5.5,6,2
C1124728833,5.5,6,2
C1125165873,5.5,6,2
C1125240410,5.5,6,2
C1129847399,5.5,6,2
C1130948374,5.5,6,2
C1132922278,5.5,6,2
C1133749806,5.5,6,2
C1134686918,5.5,6,2
C1135837200,5.5,6,2
C1138096743,5.5,6,2
C1141576570,5.5,6,2
C1145039109,5.5,6,2
C1146106423,5.5,6,2
C1147624499,5.5,6,2
C1148385029,5.5,6,2
C1151358076,5.5,6,2
C1155995848,5.5,6,2
C1157650635,5.5,6,2
C1159603532,5.5,6,2
C1161161276,5.5,6,2
C1162056755,5.5,6,2
C1162752767,5.5,6,2
C1163651971,5.5,6,2
C1164570565,5.5,6,2
C1165562200,5.5,6,2
